Year,Category,Trade Value
2018,Electrical machinery and electronics,150562233692
2017,Electrical machinery and electronics,145009793655
2022,Electrical machinery and electronics,138045637701
2021,Electrical machinery and electronics,127763462283
2014,Electrical machinery and electronics,124426422152
2019,Electrical machinery and electronics,123880683375
2015,Electrical machinery and electronics,122156207114
2018,"Machinery, mechanical appliances, & parts",119862835520
2023,Electrical machinery and electronics,119145561300
2021,"Machinery, mechanical appliances, & parts",118500288634
2016,Electrical machinery and electronics,117679458955
2022,"Machinery, mechanical appliances, & parts",117173884677
2013,Electrical machinery and electronics,115317790173
2017,"Machinery, mechanical appliances, & parts",111969305152
2020,Electrical machinery and electronics,110849754519
2014,"Machinery, mechanical appliances, & parts",107784904806
2015,"Machinery, mechanical appliances, & parts",106106227545
2013,"Machinery, mechanical appliances, & parts",103157894433
2020,"Machinery, mechanical appliances, & parts",101337772331
2016,"Machinery, mechanical appliances, & parts",98092979841
2019,"Machinery, mechanical appliances, & parts",95521049956
2023,"Machinery, mechanical appliances, & parts",89010826955
2022,Other,56704421841
2018,Other,50687399885
2014,Other,49106880455.999985
2015,Other,48341350907
2016,Other,46379524378.99998
2017,Other,45849474553
2021,Other,45174868891
2022,"Toys, games, & sports",42145454691
2013,Other,42068164191
2019,Other,40626508183
2021,"Toys, games, & sports",40001785597
2023,Other,37986210883
2018,"Furniture, bedding, lamps, & prefab buildings",37928339776
2020,Other,36590861890
2017,"Furniture, bedding, lamps, & prefab buildings",34652920990
2023,"Toys, games, & sports",33084660118
2016,"Furniture, bedding, lamps, & prefab buildings",31514002711
2021,"Furniture, bedding, lamps, & prefab buildings",31453907361
2015,"Furniture, bedding, lamps, & prefab buildings",30744249138
2022,Plastics & articles thereof,29665239623
2022,"Furniture, bedding, lamps, & prefab buildings",29664678088
2019,"Furniture, bedding, lamps, & prefab buildings",29136006356
2014,"Furniture, bedding, lamps, & prefab buildings",27879038066
2018,"Toys, games, & sports",27580429122
2020,"Toys, games, & sports",27470427845
2021,Plastics & articles thereof,27051903330
2013,"Furniture, bedding, lamps, & prefab buildings",26465839311
2019,"Toys, games, & sports",26362089778
2017,"Toys, games, & sports",26194284846
2020,"Furniture, bedding, lamps, & prefab buildings",25300430481
2015,"Toys, games, & sports",25269533712
2016,"Toys, games, & sports",24477691569
2014,"Toys, games, & sports",23192723620.9999
2020,Used clothes & textile articles,22445479119
2013,"Toys, games, & sports",22294777123
2020,Plastics & articles thereof,22192949163
2023,Plastics & articles thereof,20820525447
2018,Plastics & articles thereof,20580771603
2023,"Furniture, bedding, lamps, & prefab buildings",20418247973
2022,"Cars, tractors, trucks & parts thereof.",19574512717
2019,Plastics & articles thereof,19352178400
2018,"Cars, tractors, trucks & parts thereof.",18685780549
2022,Knitted clothing accesories,18563060402
2015,Knitted clothing accesories,18085338542
2015,Footwear,17905496302
2021,Knitted clothing accesories,17812802305
2014,Footwear,17759542823
2013,Footwear,17638609675
2017,Plastics & articles thereof,17514106026
2021,"Cars, tractors, trucks & parts thereof.",17369552594
2014,Knitted clothing accesories,16798723401
2023,"Cars, tractors, trucks & parts thereof.",16459282653
2018,Knitted clothing accesories,16442015233
2016,Knitted clothing accesories,16115804656
2013,Knitted clothing accesories,15876709471
2017,Knitted clothing accesories,15833643144
2022,Iron/Steel Articles,15822364554
2017,"Cars, tractors, trucks & parts thereof.",15652239798
2016,Plastics & articles thereof,15596064669
2023,Knitted clothing accesories,15513601912
2021,Iron/Steel Articles,15437118603
2015,Plastics & articles thereof,15410909147
2013,Non-knitted clothing accesories,15198115645
2016,Footwear,15069219651
2019,"Cars, tractors, trucks & parts thereof.",15028713695
2015,Non-knitted clothing accesories,14957875571
2014,Plastics & articles thereof,14910550917
2017,Footwear,14523605950
2014,Non-knitted clothing accesories,14502518620
2021,"Optical, photo, & film equipment; medical instruments",14297007638
2016,"Cars, tractors, trucks & parts thereof.",14286299361
2018,Footwear,14178119744
2019,Knitted clothing accesories,14164161464
2022,Organic chemicals,14106753607
2022,"Optical, photo, & film equipment; medical instruments",14084495506
2022,Footwear,14024621353
2018,Iron/Steel Articles,13945865787
2013,Plastics & articles thereof,13934594508
2015,"Cars, tractors, trucks & parts thereof.",13848829811
2016,Non-knitted clothing accesories,13816276109
2020,"Cars, tractors, trucks & parts thereof.",13661419483
2019,Footwear,13431955297
2017,Non-knitted clothing accesories,13204013613
2018,Non-knitted clothing accesories,13136511332
2020,"Optical, photo, & film equipment; medical instruments",13055350653
2018,"Optical, photo, & film equipment; medical instruments",12891705009
2021,Used clothes & textile articles,12307415538
2017,Iron/Steel Articles,12298547242
2017,"Optical, photo, & film equipment; medical instruments",12167673926
2014,"Cars, tractors, trucks & parts thereof.",12147182432
2019,Non-knitted clothing accesories,12016997318
2023,"Optical, photo, & film equipment; medical instruments",12001576242
2020,Knitted clothing accesories,11805544087
2021,Footwear,11737862767
2019,Iron/Steel Articles,11737265255
2016,"Optical, photo, & film equipment; medical instruments",11609285285
2019,"Optical, photo, & film equipment; medical instruments",11608854934
2020,Iron/Steel Articles,11579023479
2023,Iron/Steel Articles,11524949568
2022,Used clothes & textile articles,11503695807
2015,"Optical, photo, & film equipment; medical instruments",11226570760
2015,Iron/Steel Articles,11155631581
2022,Non-knitted clothing accesories,11042612877
2014,"Optical, photo, & film equipment; medical instruments",10934000830
2021,Organic chemicals,10771714924
2016,Iron/Steel Articles,10426490907
2013,"Cars, tractors, trucks & parts thereof.",10417557382
2020,Non-knitted clothing accesories,10407461139
2014,Iron/Steel Articles,10384195219
2018,Organic chemicals,9958564632
2013,"Optical, photo, & film equipment; medical instruments",9702792875
2021,Non-knitted clothing accesories,9625895140
2019,Used clothes & textile articles,9552909322
2013,Iron/Steel Articles,9487453545
2023,Footwear,9450488861
2023,Non-knitted clothing accesories,9216735794
2014,Leather articles,9193343470
2018,Used clothes & textile articles,9101431399
2023,Used clothes & textile articles,8823813267
2020,Footwear,8757215239
2017,Used clothes & textile articles,8523401425
2023,Organic chemicals,8350220769
2015,Used clothes & textile articles,8169397802
2013,Leather articles,8153301130
2019,Organic chemicals,8018850690
2017,Organic chemicals,7914587355
2016,Used clothes & textile articles,7808472541
2020,Organic chemicals,7660740219
2018,Leather articles,7570226734
2014,Used clothes & textile articles,7383772838
2013,Used clothes & textile articles,7057903854
2013,Organic chemicals,6874924274
2014,Organic chemicals,6867007861
2015,Organic chemicals,6805836479
2017,Leather articles,6724412702
2016,Leather articles,6612612149
2015,Leather articles,6579125304
2022,Miscellaneous metal products,6472305294
2016,Organic chemicals,6449210229
2021,Miscellaneous metal products,6437134724
2014,Rubber & articles thereof,6211832519
2018,Miscellaneous metal products,5314462347
2019,Leather articles,5165999712
2020,Miscellaneous metal products,5162227256
2021,Rubber & articles thereof,5139307119
2013,Rubber & articles thereof,5086945884
2023,Miscellaneous metal products,5039198366
2019,Miscellaneous metal products,4949433638
2015,Rubber & articles thereof,4748413881
2017,Miscellaneous metal products,4676436476
2015,Miscellaneous metal products,4565354693
2018,Tools & cutlery,4544163008
2022,Leather articles,4517326036
2022,Misc. manufactures,4466616318
2021,Tools & cutlery,4454830291
2018,Rubber & articles thereof,4393917768
2016,Miscellaneous metal products,4335358297
2022,Tools & cutlery,4178339823
2014,Miscellaneous metal products,4141422098
2023,Misc. manufactures,4068559679
2022,Aluminum articles,4063878590
2013,Miscellaneous metal products,4029655516
2020,Tools & cutlery,4020199390
2019,Tools & cutlery,4003974380
2021,Misc. manufactures,3968785876
2017,Tools & cutlery,3897034939
2021,Leather articles,3889209296
2020,Leather articles,3856098764
2015,Tools & cutlery,3801493639
2016,Rubber & articles thereof,3778322186
2022,Rubber & articles thereof,3768726392
2017,Rubber & articles thereof,3757125056
2018,Paper articles,3746699286
2016,Tools & cutlery,3685018205
2021,Aluminum articles,3684078736
2014,Tools & cutlery,3644168074
2017,Aluminum articles,3618056387
2013,Tools & cutlery,3456057717
2017,Paper articles,3453998185
2023,Leather articles,3413833622
2022,Paper articles,3407747816
2016,Paper articles,3271279447
2020,Misc. manufactures,3238529932
2023,Tools & cutlery,3195485469
2015,Paper articles,3188713151
2019,Misc. manufactures,3183355997
2015,Aluminum articles,3170559293
2023,Paper articles,3166609095
2018,Misc. manufactures,3108329116
2016,Aluminum articles,3103723439
2015,Misc. manufactures,3085040401
2016,Misc. manufactures,3022967484
2018,Aluminum articles,3005483384
2020,Rubber & articles thereof,3004401206
2014,Paper articles,2992511865
2019,Paper articles,2920056518
2021,Paper articles,2873725135
2019,Rubber & articles thereof,2856110687
2013,Paper articles,2837060678
2023,Aluminum articles,2835067295
2017,Misc. manufactures,2816332297
2023,Rubber & articles thereof,2738811923
2014,Aluminum articles,2731023271
2014,Misc. manufactures,2661290903
2020,Aluminum articles,2636147034
2019,Aluminum articles,2601612553
2013,Aluminum articles,2562635844
2013,Misc. manufactures,2534315574
2020,Paper articles,2403053905
