Keyword,Currency,Avg. monthly searches,Three month change,YoY change,Competition,Competition (indexed value),Top of page bid (low range),Top of page bid (high range),Ad impression share,Organic impression share,Organic average position,In account?,In plan?,Searches: May 2024,Searches: Jun 2024,Searches: Jul 2024,Searches: Aug 2024,Searches: Sep 2024,Searches: Oct 2024,Searches: Nov 2024,Searches: Dec 2024,Searches: Jan 2025,Searches: Feb 2025,Searches: Mar 2025,Searches: Apr 2025
power bi microsoft com,JPY,3600,0%,24%,Low,8,118,1107,,,,,,2900,3600,4400,3600,3600,3600,3600,2900,4400,3600,3600,3600
arcgis power bi,JPY,1000,-23%,-23%,Low,2,120,1479,,,,,,1300,1000,1000,1000,1000,1300,1000,880,1000,1300,1300,1000
power bi analysis services,JPY,480,-19%,-89%,Low,10,304,1761,,,,,,2400,320,390,320,320,320,260,260,260,320,320,260
power bi sentiment analysis,JPY,210,-19%,-35%,Low,4,286,919,,,,,,320,260,260,210,210,210,210,140,170,210,170,170
power bi snowflake,JPY,720,-18%,-18%,Low,7,310,1443,,,,,,720,720,720,590,590,720,590,480,590,720,720,590
azure devops power bi,JPY,320,23%,-18%,Low,7,219,1324,,,,,,390,320,390,320,320,260,260,260,320,260,320,320
bi it,JPY,135000,-19%,-33%,Low,16,65,635,,,,,,165000,135000,135000,135000,135000,135000,135000,110000,135000,135000,135000,110000
dynamics 365 power bi,JPY,480,-19%,-33%,Low,12,171,1257,,,,,,590,480,590,480,480,590,390,390,480,590,590,480
leonardo karpinski,JPY,590,0%,-33%,Low,19,25,123,,,,,,880,720,720,720,720,720,590,390,480,480,390,480
power bi devops,JPY,210,-33%,-56%,Low,7,113,1119,,,,,,260,260,210,210,210,260,170,140,210,210,210,140
data analysis power bi,JPY,260,-19%,0%,Medium,36,49,392,,,,,,260,260,320,260,260,210,210,170,260,260,210,210
sharepoint power bi,JPY,720,0%,-18%,Low,3,7,577,,,,,,880,880,720,720,720,720,590,590,590,720,720,720
powerbiservice,JPY,60500,-18%,22%,Low,5,132,3689,,,,,,60500,49500,60500,60500,60500,60500,60500,49500,74000,74000,74000,60500
teams power bi,JPY,390,22%,-34%,Low,6,95,471,,,,,,480,480,390,320,390,390,390,320,320,320,390,390
bi expert,JPY,480,0%,-19%,Low,9,89,800,,,,,,590,720,590,480,480,480,590,390,390,480,480,480
power bi w3schools,JPY,1000,-23%,14%,Low,5,31,344,,,,,,1000,1000,1300,1300,1000,880,1000,1300,1300,1300,1300,1000
appsource power bi,JPY,320,0%,0%,Low,5,59,703,,,,,,320,320,320,260,260,320,260,320,320,320,320,320
odoo power bi,JPY,260,-19%,-34%,Low,13,87,789,,,,,,390,320,320,260,260,320,260,210,210,260,320,210
power bi data science academy,JPY,210,24%,0%,Medium,46,32,130,,,,,,260,210,210,260,210,260,210,170,210,210,260,260
power bi web service,JPY,480,23%,23%,Low,7,209,1443,,,,,,480,390,390,390,390,590,390,320,480,390,480,480
best power bi dashboard,JPY,1300,0%,0%,Low,14,172,689,,,,,,1600,1300,1300,1300,1600,1300,1300,1000,1300,1300,1600,1300
power bi teams,JPY,590,0%,-33%,Low,4,158,1044,,,,,,720,720,590,480,480,590,480,390,480,480,590,480
powerbionline,JPY,140,0%,0%,Low,3,67,667,,,,,,140,140,170,140,140,170,140,110,140,140,140,140
leila gharani power bi,JPY,140,56%,-18%,Low,18,85,600,,,,,,140,170,170,140,170,110,90,110,110,90,110,140
power bi google sheets,JPY,720,0%,-18%,Low,7,5,496,,,,,,720,720,720,720,720,720,590,480,720,590,720,590
power bi data science,JPY,170,27%,-18%,Low,32,64,429,,,,,,210,170,170,170,170,140,110,110,170,110,140,140
power bi for data analytics,JPY,70,0%,-22%,Low,32,56,628,,,,,,110,70,90,70,70,70,70,50,70,70,90,70
bi sql,JPY,390,23%,23%,Low,10,113,867,,,,,,390,320,320,480,390,390,320,320,320,390,480,480
power bi in powerpoint,JPY,1600,0%,-33%,Low,3,88,1100,,,,,,1900,1900,1900,1600,1600,1900,1600,1300,1600,1600,1600,1600
pl300 microsoft,JPY,1600,0%,0%,Low,24,43,413,,,,,,1900,1600,1900,1600,1600,1600,1600,1300,1600,1600,1600,1600
zebra power bi,JPY,320,-19%,-19%,Low,6,23,1003,,,,,,390,260,320,260,260,320,260,210,260,320,390,260
avi singh power bi,JPY,140,-18%,56%,Low,20,46,424,,,,,,90,110,110,70,110,90,90,260,210,170,140,140
beautiful power bi dashboard,JPY,480,0%,23%,Low,7,183,774,,,,Y,,590,480,480,590,590,590,480,480,480,590,590,590
power bi appsource,JPY,210,24%,0%,Low,2,39,271,,,,,,210,260,260,170,210,260,210,210,210,210,260,260
power bi analysis,JPY,320,0%,-18%,Low,20,56,543,,,,,,390,390,320,320,390,390,320,320,320,320,390,320
power bi macos,JPY,1600,-16%,-16%,Low,3,55,494,,,,,,1900,1600,1600,1600,1600,1900,1600,1300,1600,1900,1900,1600
powerbilogin,JPY,135000,0%,-18%,Low,0,33,255,,,,,,165000,165000,165000,135000,135000,165000,135000,135000,135000,135000,135000,135000
data analysis in power bi,JPY,170,0%,-18%,Low,20,35,267,,,,,,210,210,320,170,110,140,140,170,170,140,210,140
mastering microsoft power bi,JPY,210,-33%,-33%,High,69,42,547,,,,,,210,260,210,210,210,170,170,210,210,210,170,140
databricks power bi,JPY,480,50%,22%,Low,6,235,2067,,,,,,480,590,590,390,480,590,480,390,390,480,590,720
analysis services power bi,JPY,480,-19%,-89%,Low,10,304,1761,,,,,,2400,320,390,320,320,320,260,260,260,320,320,260
power bi powerpoint,JPY,1600,0%,-33%,Low,3,88,1100,,,,,,1900,1900,1900,1600,1600,1900,1600,1300,1600,1600,1600,1600
power bi databricks,JPY,390,23%,0%,Low,5,266,2057,,,,,,480,480,390,390,480,480,390,260,390,390,390,480
use of power bi,JPY,1000,0%,-12%,Low,6,24,352,,,,,,1000,1000,1300,1000,1000,880,880,880,1000,880,880,880
powerbi tutorialspoint,JPY,260,0%,-34%,Low,4,23,107,,,,,,390,320,320,260,260,260,260,210,320,210,260,210
sentiment analysis power bi,JPY,170,0%,-46%,Low,1,393,697,,,,,,210,260,210,170,210,210,140,140,140,140,170,140
power bi reporting services,JPY,320,0%,-33%,Low,17,163,3241,,,,,,390,320,320,320,390,320,260,210,260,260,320,260
enterprisedna,JPY,2400,-21%,-34%,Low,15,36,163,,,,,,2900,2400,2400,2400,2400,2400,2400,1900,1900,2400,2400,1900
power bi sap hana,JPY,210,23%,52%,Low,6,227,935,,,,,,260,210,170,170,140,140,140,110,140,260,480,320
power bi postgresql,JPY,1000,0%,-32%,Low,3,60,792,,,,,,1300,1300,1000,1000,1000,1000,1000,880,880,880,1000,880
power bi and sharepoint,JPY,1600,0%,-16%,Low,3,78,597,,,,,,1900,1900,1900,1600,1600,1600,1600,1300,1300,1600,1600,1600
power bi mysql,JPY,720,0%,-28%,Low,3,51,514,,,,,,1000,880,880,880,720,880,720,720,720,720,720,720
power bi publisher for excel,JPY,210,-19%,0%,Low,5,188,955,,,,,,210,210,260,210,210,260,260,210,210,210,260,170
azure synapse power bi,JPY,50,25%,-44%,Low,1,,,,,,,,90,70,70,50,50,70,50,40,50,40,70,50
powerbiapp,JPY,22200,0%,23%,Low,2,46,693,,,,,,22200,18100,22200,18100,18100,22200,18100,18100,22200,22200,22200,22200
sql in power bi,JPY,480,-19%,-34%,Low,4,35,400,,,,,,590,480,480,480,390,480,390,320,390,480,390,390
power bi big data,JPY,320,0%,0%,Low,12,58,472,,,,,,390,320,320,320,320,320,260,210,210,320,390,320
bi finance,JPY,2900,0%,89%,Low,7,49,837,,,,,,1900,2400,1900,2400,2400,2400,2900,3600,4400,3600,3600,3600
tableau to power bi migration,JPY,390,0%,0%,Low,16,180,1443,,,,,,480,390,390,390,480,390,390,390,390,390,480,390
power bi 2022,JPY,30,100%,-20%,Low,3,,,,,,,,40,40,40,30,30,40,40,20,20,20,30,40
hashtag power bi,JPY,170,-35%,-48%,Low,30,27,127,,,,,,210,210,210,170,210,140,170,90,170,170,170,110
power bi in teams,JPY,260,-19%,-46%,Low,5,187,787,,,,,,320,260,320,260,260,260,260,170,210,260,260,210
docs microsoft com power bi,JPY,90,0%,-18%,Low,3,42,377,,,,,,110,70,50,70,70,90,50,70,90,90,90,90
power bi leonardo karpinski,JPY,70,-20%,-64%,Medium,43,38,130,,,,,,90,70,70,50,70,90,40,40,50,50,50,40
ssas power bi,JPY,170,27%,-46%,Low,5,91,745,,,,,,210,260,170,170,170,170,110,140,170,110,170,140
web scraping power bi,JPY,70,0%,-64%,Low,10,23,482,,,,,,110,90,90,70,70,70,50,30,40,40,40,40
and power bi,JPY,2740000,0%,0%,Low,8,31,307,,,,,,2740000,2740000,2740000,2740000,2740000,2740000,2740000,2240000,2740000,2740000,2740000,2740000
power bi planner,JPY,1000,0%,0%,Low,7,148,764,,,,,,1000,1000,1000,880,1000,1000,1000,880,1000,1000,1000,1000
power bi arcgis,JPY,480,-19%,-34%,Low,1,87,410,,,,,,590,480,480,390,390,480,390,320,390,480,480,390
pavan lalwani power bi,JPY,390,-19%,-56%,Low,11,27,250,,,,,,590,480,390,480,590,480,260,260,390,320,260,260
leonardo karpinski power bi,JPY,70,-29%,-44%,Medium,52,41,159,,,,,,90,90,90,70,50,50,70,70,70,70,50,50
power bi apple,JPY,320,0%,0%,Low,2,74,1316,,,,,,320,320,320,260,320,320,260,260,320,320,390,320
deneb power bi,JPY,1300,23%,0%,Low,3,61,443,,,,Y,,1600,1600,1300,1300,1300,1600,1300,1300,1600,1300,1600,1600
power bi is,JPY,210,-35%,-35%,Low,8,42,292,,,,,,260,260,260,210,260,210,210,170,260,260,210,170
power pivot in power bi,JPY,1300,-23%,-38%,Low,1,29,244,,,,,,1600,1600,1600,1600,1300,1300,1300,1000,1300,1300,1300,1000
odata feed power bi,JPY,110,0%,-48%,Low,2,,,,,,,,140,110,110,110,110,110,90,90,140,110,110,110
inforiver power bi,JPY,170,0%,-35%,Low,21,304,1881,,,,,,210,170,140,140,170,260,210,170,170,170,210,170
sales dashboard in power bi,JPY,480,23%,23%,Low,4,61,658,,,,,,480,590,590,590,480,480,480,480,480,480,590,590
alteryx power bi,JPY,210,-19%,-35%,Low,14,187,2009,,,,,,320,210,260,260,260,260,170,170,170,210,260,170
biapps,JPY,480,-19%,-46%,Low,15,167,1477,,,,,,720,590,590,480,480,590,480,390,480,480,480,390
power bi 32 bits,JPY,390,-18%,-18%,Low,1,,,,,,,,480,320,390,390,320,390,320,260,320,390,320,320
power bi windows 7,JPY,390,-18%,-33%,Low,1,,,,,,,,480,480,480,480,390,320,320,260,320,390,390,320
adventure works power bi,JPY,260,-19%,-34%,Low,2,74,937,,,,,,390,390,260,320,260,260,260,210,210,260,260,210
powerbi experience,JPY,480,0%,-34%,Low,31,42,289,,,,,,590,480,590,590,480,480,390,320,390,390,390,390
bi is,JPY,320,23%,0%,Low,1,16,577,,,,,,320,320,320,320,260,320,320,260,260,260,320,320
power bi elasticsearch,JPY,140,0%,-35%,Low,3,,,,,,,,170,170,140,110,140,170,140,110,140,110,170,110
get data power bi,JPY,480,0%,-19%,Low,3,177,559,,,,,,590,590,590,390,590,590,480,390,480,480,590,480
power on power bi,JPY,260,-19%,-19%,Low,22,196,1058,,,,,,260,260,260,210,390,390,390,210,320,260,210,210
planner power bi,JPY,210,0%,0%,Low,3,101,491,,,,,,260,210,210,140,140,170,170,140,210,210,210,210
power bi docs,JPY,480,0%,-19%,Low,1,36,257,,,,,,590,590,720,480,480,480,480,390,390,480,480,480
power pivot power bi,JPY,260,-34%,-46%,Low,6,62,576,,,,,,320,320,260,210,260,260,210,210,260,320,320,210
power bi bigquery,JPY,480,0%,-33%,Low,4,118,2101,,,,,,590,590,590,480,590,590,480,390,480,480,480,480
power bi ipad,JPY,390,0%,-18%,Low,1,,,,,,,,480,480,480,390,390,390,390,320,320,320,390,320
in power bi,JPY,720,0%,-18%,Low,2,45,399,,,,,,880,720,720,720,590,590,590,590,720,720,880,720
power bi get data,JPY,480,0%,-19%,Low,3,177,559,,,,,,590,590,590,390,590,590,480,390,480,480,590,480
supercharge power bi,JPY,210,0%,-35%,Medium,43,29,333,,,,,,210,210,170,210,210,170,260,140,170,170,210,170
power bi portable,JPY,260,-19%,-46%,Low,2,29,359,,,,,,390,390,320,260,260,260,260,170,210,260,260,210
web bi,JPY,2900,-34%,0%,Low,1,66,607,,,,,,1600,1600,1600,1900,2900,2400,1900,1900,1900,2900,12100,1900
synoptic power bi,JPY,170,-35%,-48%,Low,5,60,721,,,,,,210,170,170,140,170,210,170,140,140,170,210,110
synapse power bi,JPY,70,0%,-50%,Low,3,112,1240,,,,,,90,90,90,90,90,90,50,50,70,70,90,70
power bi view,JPY,1600,0%,-16%,Low,3,68,481,,,,,,1900,1900,1600,1600,1600,1600,1600,1000,1600,1600,1600,1600
tutorialspoint power bi,JPY,170,0%,24%,Low,6,30,75,,,,,,170,170,170,170,170,170,140,140,140,210,170,210
power bi with sql,JPY,170,0%,-18%,Low,29,40,537,,,,,,210,170,210,140,110,140,170,140,140,140,170,140
power bi powershell,JPY,260,-34%,-56%,Low,1,29,82,,,,,,480,320,320,320,260,260,260,210,210,320,320,210
sharepoint to power bi,JPY,170,-18%,-46%,Low,1,,,,,,,,210,210,210,170,170,170,170,140,140,170,170,140
power bi outlook,JPY,140,-18%,-33%,Low,1,,,,,,,,210,170,170,170,140,170,140,140,110,170,140,140
power bi get data from sharepoint,JPY,110,0%,-47%,Low,1,,,,,,,,140,170,140,140,110,140,110,90,110,90,110,90
github power bi,JPY,590,0%,-33%,Low,2,50,232,,,,,,720,590,720,590,720,720,720,590,590,590,590,590
workout wednesday power bi,JPY,260,-33%,-56%,Low,0,,,,,,,,320,320,320,260,320,260,260,260,260,210,260,140
70 778,JPY,40,0%,-20%,Low,2,,,,,,,,40,50,40,30,40,40,20,30,40,40,40,40
bi 0,JPY,140,0%,0%,Low,18,,,,,,,,170,140,110,140,140,170,140,110,110,140,170,140
bi by,JPY,320,0%,-19%,Low,11,8,225,,,,,,320,320,320,260,260,320,260,260,320,260,320,260
bi on,JPY,720,-18%,-33%,Low,2,13,113,,,,,,480,880,480,590,390,590,590,3600,480,390,390,320
bi r bi,JPY,10,0%,0%,Low,24,,,,,,,,10,10,10,10,10,10,10,10,10,10,10,10
bi sales,JPY,170,0%,0%,Low,10,29,1025,,,,,,210,140,210,170,140,210,170,210,140,170,170,170
bi to,JPY,720,22%,22%,Low,0,,,,,,,,720,720,720,720,590,720,720,880,880,590,720,720
excel power view,JPY,1000,-18%,-45%,Low,1,24,168,,,,,,1300,1000,1000,1000,1000,1000,1000,720,1000,880,880,720
google sheets power bi,JPY,210,-19%,-35%,Low,8,5,256,,,,,,260,210,260,210,210,210,210,210,210,210,210,170
guyinacube,JPY,2400,0%,-17%,Low,0,,,,,,,,2400,2400,2400,1900,2400,2400,2400,1900,2400,2400,2400,2400
intellisense power bi,JPY,20,-50%,-67%,Low,5,,,,,,,,30,20,30,10,20,10,10,10,20,20,30,10
locking conflicts power bi,JPY,110,0%,-22%,Low,0,,,,,,,,70,110,140,140,110,140,110,90,90,70,90,70
mapbox power bi,JPY,260,53%,-19%,Low,4,85,1129,,,,,,320,260,260,210,260,320,260,210,210,170,320,260
microsoft power pivot,JPY,33100,0%,-18%,Low,2,16,150,,,,,,40500,40500,40500,33100,33100,40500,33100,27100,33100,33100,40500,33100
mpez power bi,JPY,2400,-45%,60%,Low,0,,,,,,,,1300,1600,1900,2400,2400,1900,2400,2400,2900,2900,2900,1600
odata power bi,JPY,390,-33%,-33%,Low,2,114,1108,,,,,,390,390,390,390,390,390,390,260,390,480,390,320
ols power bi,JPY,210,24%,-34%,Low,1,,,,,,,,210,210,210,170,170,210,210,140,210,170,210,210
patrick leblanc power bi,JPY,260,127%,127%,Low,2,88,2967,,,,,,210,210,170,140,210,210,260,320,480,260,320,590
pbidesktopsetup_x64,JPY,170,0%,0%,Low,1,157,421,,,,,,210,170,170,170,170,170,170,140,140,170,170,170
postgresql power bi,JPY,1000,0%,-32%,Low,3,60,792,,,,,,1300,1300,1000,1000,1000,1000,1000,880,880,880,1000,880
power bi and,JPY,320,-19%,-56%,Low,3,78,1154,,,,,,390,390,320,320,320,320,260,210,260,260,260,210
power bi angular,JPY,260,0%,-56%,Low,4,101,458,,,,,,390,320,260,260,210,210,210,140,210,170,210,170
power bi athena,JPY,170,0%,-19%,Low,1,,,,,,,,260,170,170,170,170,170,170,140,140,170,170,170
power bi docker,JPY,260,0%,-19%,Low,1,,,,,,,,260,260,210,260,260,260,260,210,210,210,210,210
power bi for windows 7,JPY,390,-18%,-33%,Low,1,,,,,,,,480,480,480,480,390,320,320,260,320,390,390,320
power bi github,JPY,880,0%,-32%,Low,1,90,625,,,,,,1300,1000,1000,1000,880,1000,880,720,880,880,880,880
power bi in,JPY,320,0%,-18%,Low,4,53,452,,,,,,390,390,390,390,390,390,320,260,260,320,320,320
power bi in asp net,JPY,30,-94%,0%,Low,0,,,,,,,,20,20,10,10,10,10,10,10,10,170,110,10
power bi january 2022,JPY,10,0%,-50%,Low,0,,,,,,,,10,10,10,10,10,10,10,0,10,10,10,10
power bi list,JPY,320,24%,-33%,Low,1,,,,,,,,390,320,320,260,320,320,260,260,260,210,260,260
power bi may 2022,JPY,10,0%,0%,Low,0,,,,,,,,10,10,10,10,10,10,10,10,10,10,10,10
power bi microsoft docs,JPY,20,100%,-33%,Low,0,,,,,,,,30,20,10,20,10,10,10,10,10,10,30,20
power bi oauth2,JPY,140,0%,-35%,Low,1,,,,,,,,210,170,170,110,140,140,110,90,90,110,140,110
power bi onedrive,JPY,260,0%,-33%,Low,1,33,102,,,,,,320,260,320,260,320,320,260,210,260,260,260,260
power bi parquet,JPY,210,0%,-35%,Low,1,,,,,,,,320,210,210,210,210,260,170,140,170,170,210,170
power bi r,JPY,880,0%,-28%,Low,4,101,675,,,,,,1000,880,880,880,880,880,720,590,720,720,720,720
power bi react,JPY,260,23%,-18%,Low,1,78,515,,,,,,390,320,320,320,320,320,260,170,260,260,260,320
power bi reddit,JPY,880,0%,14%,Low,0,,,,,,,,880,880,880,880,880,880,720,720,880,1000,1000,1000
power bi redshift,JPY,210,-19%,-35%,Low,2,234,863,,,,,,210,260,260,210,170,210,170,140,170,210,170,170
power bi rolling 12 months,JPY,110,-36%,-59%,Low,0,,,,,,,,140,140,110,90,90,90,110,90,90,110,90,70
power bi september 2022,JPY,10,0%,0%,Low,0,,,,,,,,10,10,10,10,10,10,10,10,10,10,10,10
power bi sharepoint excel,JPY,260,0%,-34%,Low,1,,,,,,,,320,260,260,260,210,260,210,210,210,210,260,210
power bi sharepoint list,JPY,480,23%,-19%,Low,1,,,,,,,,720,590,480,480,390,480,480,320,480,390,480,480
power bi sqlite,JPY,390,0%,-19%,Low,1,,,,,,,,480,480,390,320,390,390,390,320,390,390,480,390
power bi stand for,JPY,880,0%,0%,Low,0,,,,,,,,1000,1000,1000,1000,1000,880,880,880,880,880,880,880
power bi ubuntu,JPY,320,0%,-33%,Low,1,37,144,,,,,,480,320,320,320,320,390,320,260,260,320,320,320
power bi webview2,JPY,70,-43%,-64%,Low,0,,,,,,,,90,110,90,70,70,70,90,50,50,70,50,40
power in sql,JPY,1900,0%,-33%,Low,0,27,415,,,,,,2400,1900,1900,1900,1900,1900,1600,1600,1600,1600,1900,1600
power view excel 365,JPY,70,0%,-29%,Low,1,,,,,,,,110,90,110,70,90,70,50,50,40,50,70,50
power view in excel,JPY,1000,-18%,-45%,Low,1,24,168,,,,,,1300,1000,1000,1000,1000,1000,1000,720,1000,880,880,720
power view in power bi,JPY,480,-18%,-56%,Low,1,,,,,,,,590,590,720,480,480,480,480,390,480,390,390,320
powerapps powerbi,JPY,1000,0%,-38%,Low,5,77,557,,,,,,1300,1300,1300,1000,1000,1000,1000,880,1000,1000,1300,1000
powershell power bi,JPY,170,-18%,-33%,Low,2,,,,,,,,260,210,210,170,170,170,140,140,140,170,170,140
reddit power bi,JPY,720,0%,22%,Low,0,,,,,,,,590,720,720,720,720,880,720,480,720,880,880,880
removefilters power bi,JPY,140,27%,0%,Low,0,,,,,,,,170,140,140,140,110,140,110,90,110,110,110,140
sharepoint list power bi,JPY,170,0%,-33%,Low,1,,,,,,,,210,170,210,170,170,170,170,140,170,140,210,140
sharepoint list to power bi,JPY,170,-19%,-19%,Low,1,,,,,,,,260,210,210,170,210,170,170,90,170,210,170,170
smartsheet power bi,JPY,320,-19%,-46%,Low,7,433,3105,,,,,,390,390,390,320,320,320,320,260,320,320,390,260
vertipaq,JPY,720,22%,0%,Low,0,,,,,,,,720,880,720,720,720,880,720,720,720,720,880,880
vertipaq analyzer,JPY,720,-18%,-18%,Low,2,558,2532,,,,,,880,880,720,720,720,720,720,720,720,880,880,720
vertipaq engine,JPY,260,0%,-19%,Low,0,,,,,,,,390,320,320,260,320,320,260,170,210,260,320,260
webview2 power bi,JPY,70,0%,-22%,Low,2,,,,,,,,110,90,90,70,70,90,90,50,70,70,70,70
www microsoft com bi,JPY,320,0%,23%,Low,2,,,,,,,,260,260,320,260,260,320,390,480,390,320,320,320
www powerbi com,JPY,1600,-19%,-19%,Low,10,65,764,,,,,,1600,1600,1300,1600,1600,1300,1300,1300,1600,1600,1600,1300
